bar_code,title,price,cost_price,count
1780177,морож. пл/ст.Ложка-Морожка Мраморитто пломб.ван/шокол. 90гр,32.2,25.0,2
1673682,Пиво Жигулевское 2,116.243902439,94.0,8
1210836,ЧИПСЫ LAYS зел лук 40г,25.8666666667,19.0,3
1454558,Мак.Просто Букатини 350г.,20.6666666667,17.0,1
1087975,ПАРЛАМЕНТ Аква блю,152.389344262,123.0,97
1470887,БАРАНКИ СДОБНЫЕ 300Г КОЛОС 1/10,52.6101694915,43.0,11
27117,"ВОДА ГАЗИРОВАННАЯ ШВЕППС 1,5Л БИТТЕР ЛЕМОН 1/9",77.0,65.0,0
1380777,"Напиток б/а с/г ""Кока Кола"" 2,0 пэт г.Ниж Новгор",114.87804878,93.0,8
1184248,ШОКОЛАД DOVE МОЛ. ДРОБ.ФУНДУК 90ГР,110.0,82.0,0
14842,"ЧАЙ ""ПРИНЦЕССА ЯВА"" ЗЕЛЁНЫЙ 25 П.",45.0,36.0,0
14848,МАЙОНЕЗ МАХЕЕВЪ ПРОВАНСАЛЬ ДОЙ-ПАК 200МЛ.,38.5,30.0,0
1102337,kitekat в ассортим. 85г.,16.125,13.0,1
1837573,"Сигареты с фильтром ""Bond Street Compact Blue"" 85",106.8375,83.0,16
1243654,"ЧАЙ ""GREENFIEELD"" SUMMER BOUQUET 37,5Г (25 Х 1,5Г)",93.25,71.0,0
1233415,Винстон XS Silver,91.25,74.0,1
1327631,ПШЕНО МАЛАХОВСКОЕ 900Г БЕЛГОРОД  1/15,21.1111111111,16.0,1
1285891,"СОК ""ПРИВЕТ"" 1,93Л В АССОРТ",123.4,91.0,1
2406932,"Сухарики ""777"" 45г  со вкусом томата и зелени.",10.125,8.0,8
1528341,ЖЕЛАТИН ПИЩЕВОЙ ТАЙНИК ВКУСА 20Г  1/40,33.6,27.0,1
1202710,Сигареты с фильтром LD Club  Premium Compact Blue 70,73.3461538462,58.0,5
1399319,Рулет KOVIS шоколад 175 гр,39.3333333333,33.0,1
8728,BOND Compact BLUE,94.7,74.0,2
1206812,Сигареты PLAY HIT синий МРЦ 72.00,77.0203045685,58.0,39
1149472,"Драже ""Стоп""шоколад, 50гр, шт.",22.75,19.0,0
33200,LD Club Compact Blue,84.9677419355,69.0,6
